,0,1,2,3,4,z0,z1,z2,z3,z4
0,-0.0022250097650843154,-2.1894573748719393e-08,1.0144915032430574e-07,1.5490997116615571e-06,-0.0003594031016874588,-4.367278865304312,-4.399160880067804,-4.46534032983943,-4.523326710666886,-4.544940513416297
1,-0.002121999337570142,-2.0843062283256347e-08,9.62027294609622e-08,1.4638431539374853e-06,-0.0003391625007522303,-4.364366375230752,-4.396227128230479,-4.462362443657476,-4.520310154007555,-4.541909542750464
2,-0.002023368558948047,-1.9838005435150074e-08,9.120598288013787e-08,1.382830472385839e-06,-0.00031995436444371556,-4.361453885157191,-4.393293376393155,-4.459384557475523,-4.517293597348224,-4.538878572084631
3,-0.001928908377198532,-1.887717864443537e-08,8.644779602964812e-08,1.3059664438238209e-06,-0.0003017571138620409,-4.3585413950836305,-4.390359624555831,-4.456406671293569,-4.514277040688893,-4.535847601418798
4,-0.00183840298558713,-1.7958210720848175e-08,8.191376958004828e-08,1.2329743899082174e-06,-0.0002844916462879571,-4.35562890501007,-4.387425872718507,-4.453428785111615,-4.511260484029562,-4.532816630752965
5,-0.0017516406912693773,-1.707878195062953e-08,7.759129582806504e-08,1.1636886749773892e-06,-0.0002681296740200147,-4.352716414936509,-4.384492120881182,-4.450450898929661,-4.508243927370231,-4.529785660087133
6,-0.0016684243708859209,-1.623675479753122e-08,7.346766035817363e-08,1.097801975725359e-06,-0.00025259423768674374,-4.349803924862948,-4.381558369043858,-4.447473012747708,-4.5052273707109,-4.5267546894213
7,-0.0015885587644568846,-1.5430023880094232e-08,6.953138068819412e-08,1.0350858727485104e-06,-0.0002378213938453625,-4.346891434789387,-4.378624617206533,-4.444495126565754,-4.502210814051569,-4.523723718755467
8,-0.0015118656107838359,-1.4656626062334885e-08,6.57710495336397e-08,9.753698447181354e-07,-0.00022377248860717635,-4.343978944715826,-4.375690865369209,-4.441517240383801,-4.499194257392238,-4.520692748089634
9,-0.0014381701001409365,-1.3914662363964602e-08,6.217619687985623e-08,9.18453877783764e-07,-0.00021039816377762985,-4.341066454642266,-4.372757113531885,-4.438539354201847,-4.496177700732907,-4.517661777423801
10,-0.0013673076197889737,-1.320234639758137e-08,5.8736527294372884e-08,8.641683054511029e-07,-0.00019765610512961792,-4.338153964568705,-4.369823361694561,-4.435561468019894,-4.493161144073576,-4.514630806757968
11,-0.0012991238198765305,-1.2517986050789257e-08,5.5442540856128686e-08,8.123405734409752e-07,-0.00018550393069538006,-4.335241474495144,-4.366889609857236,-4.43258358183794,-4.490144587414245,-4.511599836092135
12,-0.001233464906607162,-1.1859996569702456e-08,5.22852271693455e-08,7.62795065191578e-07,-0.00017390138820045465,-4.332328984421584,-4.363955858019912,-4.429605695655987,-4.4871280307549135,-4.5085688654263025
13,-0.0011701886322610954,-1.122677827754948e-08,4.925628609905446e-08,7.153938098606659e-07,-0.0001628109741037381,-4.329416494348023,-4.361022106182587,-4.426627809474033,-4.484111474095583,-4.50553789476047
14,-0.0011091619872559042,-1.0616873707003053e-08,4.634718725910831e-08,6.699800899308794e-07,-0.0001521961310033943,-4.3265040042744625,-4.358088354345264,-4.423649923292079,-4.481094917436252,-4.502506924094638
15,-0.0010502506186057473,-1.0028920592406493e-08,4.3550109850894194e-08,6.264173191075577e-07,-0.0001420226674766992,-4.323591514200902,-4.355154602507939,-4.420672037110125,-4.47807836077692,-4.499475953428805
16,-0.0009933280835062533,-9.461530167256e-09,4.0857937773944536e-08,5.845753596249687e-07,-0.0001322585107558015,-4.320679024127341,-4.352220850670615,-4.417694150928172,-4.47506180411759,-4.496444982762972
17,-0.0009382750451184249,-8.913400503294208e-09,3.826356007904833e-08,5.443353609676223e-07,-0.00012287410344957622,-4.31776653405378,-4.34928709883329,-4.414716264746218,-4.472045247458259,-4.493414012097139
18,-0.0008849751195318196,-8.383307059798048e-09,3.5759903586226225e-08,5.055719232489275e-07,-0.00011384134579439127,-4.314854043980219,-4.346353346995966,-4.411738378564265,-4.469028690798927,-4.490383041431306
19,-0.0008333176320309148,-7.870054631053407e-09,3.334051810346344e-08,4.6816939358794305e-07,-0.00010513019319144035,-4.311941553906658,-4.343419595158641,-4.408760492382311,-4.466012134139596,-4.487352070765473
20,-0.0007831977520089037,-7.372503763254013e-09,3.09992429208477e-08,4.320237381094044e-07,-9.671463501483874e-05,-4.309029063833098,-4.340485843321318,-4.405782606200358,-4.462995577480266,-4.48432110009964
21,-0.0007345115190403368,-6.889582500738406e-09,2.873000680866458e-08,3.970347330268128e-07,-8.857078496044197e-05,-4.306116573759537,-4.337552091483993,-4.402804720018404,-4.459979020820935,-4.481290129433807
22,-0.0006871615123619649,-6.42021866068027e-09,2.6527117397330276e-08,3.6309531321836177e-07,-8.06742605638786e-05,-4.303204083685976,-4.334618339646669,-4.399826833836451,-4.456962464161603,-4.478259158767975
23,-0.0006410538126011829,-5.963413220236881e-09,2.438521711480246e-08,3.301090934094813e-07,-7.300012408837529e-05,-4.300291593612416,-4.331684587809344,-4.3968489476544965,-4.4539459075022725,-4.475228188102142
24,-0.0005960961934165125,-5.518200164036014e-09,2.229882649836779e-08,2.9798506347622794e-07,-6.55260005683229e-05,-4.297379103538855,-4.32875083597202,-4.393871061472543,-4.450929350842942,-4.472197217436309
25,-0.0005522005441375015,-5.083636888643572e-09,2.026293246508886e-08,2.6663366406835487e-07,-5.823058642190564e-05,-4.2944666134652945,-4.325817084134696,-4.390893175290589,-4.44791279418361,-4.4691662467704765
26,-0.0005092825655450858,-4.6588074383877296e-09,1.8272656777017892e-08,2.3596769550617507e-07,-5.109259113744825e-05,-4.291554123391734,-4.322883332297372,-4.387915289108636,-4.444896237524279,-4.466135276104644
27,-0.00046726080744405356,-4.242844009318583e-09,1.6323225930714782e-08,2.0590519296977728e-07,-4.4091606748257873e-05,-4.288641633318173,-4.319949580460047,-4.384937402926682,-4.4418796808649486,-4.463104305438811
28,-0.00042605628453493724,-3.8349083483482666e-09,1.4409927055450558e-08,1.7636825276990128e-07,-3.7208343074499616e-05,-4.285729143244612,-4.317015828622723,-4.381959516744729,-4.438863124205617,-4.460073334772978
29,-0.00038559255718841436,-3.434187652129239e-09,1.2528342612519612e-08,1.4727468659198116e-07,-3.042435961408328e-05,-4.282816653171051,-4.3140820767853985,-4.378981630562775,-4.435846567546286,-4.457042364107145
30,-0.00034579520607297637,-3.0398909488236166e-09,1.0674197656517054e-08,1.185503748945251e-07,-2.3720022951174818e-05,-4.27990416309749,-4.311148324948074,-4.376003744380822,-4.432830010886955,-4.454011393441312
31,-0.0003065910433155876,-2.6512527589414985e-09,8.843335902521903e-09,9.012199875634352e-08,-1.7077747348695064e-05,-4.27699167302393,-4.30821457311075,-4.373025858198868,-4.429813454227624,-4.45098042277548
32,-0.00026790798724982877,-2.267521002624479e-09,7.031696711257112e-09,6.19171471883597e-08,-1.0480049529751895e-05,-4.274079182950369,-4.305280821273426,-4.3700479720169145,-4.426796897568293,-4.447949452109647
33,-0.0002296746956675327,-1.8879527527524657e-09,5.235298137173832e-09,3.386225545790724e-08,-3.909597006345276e-06,-4.271166692876808,-4.3023470694361015,-4.3670700858349605,-4.423780340908962,-4.444918481443814
34,-0.0001918227075484649,-1.5118121208847647e-09,3.450281512476361e-09,5.888464789325691e-09,2.651288700764817e-06,-4.268254202803248,-4.299413317598777,-4.364092199653007,-4.4207637842496315,-4.441887510777981
35,-0.00015428996008046378,-1.1383663486489311e-09,1.6728051667809776e-09,-2.2071540411460567e-08,9.219230263308049e-06,-4.265341712729687,-4.2964795657614525,-4.361114313471053,-4.4177472275903,-4.438856540112148
36,-0.00011701241825657839,-7.669025841109853e-10,-1.0097016744192487e-10,-5.0083982893250964e-08,1.5810554438418495e-05,-4.2624292226561264,-4.293545813924129,-4.3581364272891,-4.414730670930969,-4.435825569446315
37,-7.992701990584375e-05,-3.967965771282789e-10,-1.8748890718711844e-09,-7.821434168838382e-08,2.2441401661851346e-05,-4.259516732582566,-4.2906120620868045,-4.355158541107146,-4.411714114271638,-4.432794598780482
38,-4.297168666289272e-05,-2.7393005333923422e-11,-3.6528232994568095e-09,-1.0652770124147747e-07,2.9127813390122838e-05,-4.256604242509005,-4.28767831024948,-4.352180654925193,-4.408697557612307,-4.4297636281146495
39,-6.085336187540322e-06,3.419613807404316e-10,-5.43869363155041e-09,-1.350889854650814e-07,3.588581944265015e-05,-4.253691752435444,-4.2847445584121555,-4.349202768743239,-4.405681000952976,-4.426732657448817
40,3.079106083903989e-05,7.11912674567325e-10,-7.236151088653543e-09,-1.639619905800266e-07,4.2731402332575744e-05,-4.250779262361883,-4.281810806574831,-4.346224882561286,-4.402664444293645,-4.423701686782985
41,6.771619722869477e-05,1.0831016125466249e-09,-9.048328857073144e-09,-1.93211445499505e-07,4.968038378354544e-05,-4.247866772288322,-4.278877054737507,-4.343246996379332,-4.3996478876343135,-4.420670716117152
42,0.0001047482777021281,1.4561559911986968e-09,-1.0878763689231121e-08,-2.2290318022655782e-07,5.674899065879655e-05,-4.244954282214762,-4.275943302900183,-4.3402691101973785,-4.396631330974983,-4.417639745451319
43,0.00014194498652436474,1.831688617856535e-09,-1.2730999055983264e-08,-2.531041608687862e-07,6.39537450800181e-05,-4.242041792141201,-4.2730095510628585,-4.337291224015424,-4.393614774315652,-4.414608774785486
44,0.00017936360230435546,2.210317135980275e-09,-1.4608582568988957e-08,-2.8388282288202705e-07,7.131153247410091e-05,-4.23912930206764,-4.270075799225534,-4.334313337833471,-4.39059821765632,-4.411577804119653
45,0.00021706036580975834,2.592656804480931e-09,-1.651507564652528e-08,-3.153094043140272e-07,7.88396842931112e-05,-4.23621681199408,-4.26714204738821,-4.331335451651517,-4.3875816609969895,-4.40854683345382
46,0.00025509117741955473,2.979321791857493e-09,-1.8454056691956196e-08,-3.474562790481989e-07,8.655606073426392e-05,-4.233304321920519,-4.264208295550885,-4.328357565469564,-4.384565104337659,-4.405515862787987
47,0.00029351196876776446,3.370926344213431e-09,-2.042900344902656e-08,-3.803890781282381e-07,9.447823025992774e-05,-4.230391831846958,-4.2612745437135615,-4.32537967928761,-4.381548547678328,-4.402484892122154
48,0.0003323785694274878,3.768076975088716e-09,-2.244343786895958e-08,-4.14166278596683e-07,0.00010262103510599087,-4.227479341773398,-4.258340791876237,-4.322401793105657,-4.378531991018996,-4.399453921456322
49,0.00037174681611637685,4.171381001353468e-09,-2.4500944565770563e-08,-4.488562169971027e-07,0.00011100151205235553,-4.224566851699837,-4.255407040038913,-4.319423906923703,-4.375515434359666,-4.396422950790489
50,0.00041167208198547155,4.581450910452646e-09,-2.660514366424485e-08,-4.845283698056496e-07,0.00011963725496179262,-4.221654361626276,-4.252473288201588,-4.31644602074175,-4.372498877700335,-4.393391980124656
51,0.00045220942458915265,4.998902412295142e-09,-2.875969826547632e-08,-5.2125344234219e-07,0.0001285462020719476,-4.218741871552715,-4.249539536364264,-4.313468134559796,-4.369482321041003,-4.3903610094588235
52,0.0004934141767270605,5.4243555821727725e-09,-3.0968321912395935e-08,-5.591035193410197e-07,0.00013774667366137167,-4.215829381479154,-4.246605784526939,-4.3104902483778424,-4.366465764381672,-4.3873300387929905
53,0.0005353419888488826,5.858434129990121e-09,-3.323476605404499e-08,-5.981522155216789e-07,0.0001472574097155555,-4.212916891405594,-4.243672032689616,-4.307512362195888,-4.363449207722342,-4.384299068127158
54,0.0005780487473326212,6.3017543950814826e-09,-3.55627953846175e-08,-6.384745079736201e-07,0.00015709753435867518,-4.210004401332033,-4.240738280852291,-4.304534476013935,-4.36043265106301,-4.381268097461325
55,0.0006215905821443194,6.754942603791793e-09,-3.7956269430262154e-08,-6.801448744575994e-07,0.00016728626603458634,-4.207091911258472,-4.237804529014967,-4.301556589831981,-4.357416094403679,-4.378237126795492
56,0.0006660237028260239,7.2186325168958434e-09,-4.04191195303553e-08,-7.232405008287073e-07,0.00017784349401359944,-4.204179421184912,-4.234870777177642,-4.298578703650028,-4.3543995377443485,-4.375206156129659
57,0.0007114049135841791,7.693464543893182e-09,-4.295535326824008e-08,-7.678407171154561e-07,0.00018878965956489364,-4.201266931111351,-4.231937025340318,-4.295600817468074,-4.351382981085017,-4.372175185463827
58,0.0007577915310376223,8.180086575311434e-09,-4.556906101876872e-08,-8.140267883669693e-07,0.0002001457453491719,-4.19835444103779,-4.229003273502994,-4.292622931286121,-4.348366424425686,-4.369144214797994
59,0.0008052414198089181,8.67915365873881e-09,-4.826482336841351e-08,-8.618820397261573e-07,0.00021193330802853362,-4.19544195096423,-4.22606952166567,-4.289645045104167,-4.345349867766355,-4.366113244132161
60,0.0008538130452837345,9.191327453227542e-09,-5.1045769063321075e-08,-9.114919815027622e-07,0.00022417451087637872,-4.192529460890669,-4.223135769828345,-4.286667158922214,-4.342333311107025,-4.363082273466328
61,0.000903565520412028,9.717280806915138e-09,-5.391690946039288e-08,-9.629444342661074e-07,0.00023689216038751734,-4.189616970817108,-4.220202017991021,-4.28368927274026,-4.339316754447693,-4.360051302800495
62,0.0009545586404232082,1.0257696950374337e-08,-5.688256833628335e-08,-1.0163296846903223e-06,0.00025010976733494974,-4.186704480743547,-4.217268266153696,-4.280711386558306,-4.336300197788362,-4.357020332134662
63,0.0010068528713947046,1.0813270205423351e-08,-5.994718285077806e-08,-1.071740596267871e-06,0.0002638515383780904,-4.183791990669986,-4.214334514316372,-4.277733500376352,-4.333283641129031,-4.353989361468829
64,0.0010605094402001472,1.1384706775009613e-08,-6.311530354678663e-08,-1.1292727039374905e-06,0.00027814241721762427,-4.180879500596426,-4.211400762479048,-4.274755614194399,-4.3302670844697,-4.3509583908029965
65,0.0011155903447458294,1.1972725533094404e-08,-6.639159435035003e-08,-1.1890243595097653e-06,0.00029300812251221016,-4.177967010522865,-4.208467010641724,-4.271777728012445,-4.327250527810369,-4.347927420137164
66,0.0011721583616217555,1.2578053978639062e-08,-6.978084618891276e-08,-1.2510968572207439e-06,0.0003084751808930459,-4.175054520449304,-4.205533258804399,-4.268799841830492,-4.324233971151038,-4.344896449471332
67,0.0012302770553350086,1.3201429475618142e-08,-7.328800843891082e-08,-1.315594559285405e-06,0.0003245709599784583,-4.172142030375744,-4.202599506967075,-4.265821955648538,-4.321217414491707,-4.341865478805499
